Run,Position,Scale,Rotation,Opacity,Hash,MLP,Total Storage (MB),SSIM,PSNR,LPIPS
bicycle_run_1,13.34544,10.013688,10.015224000000002,4.44848,25.19984,0.016384,63.039056,0.7233806848526001,24.763147354125977,0.28416338562965393
bicycle_run_2,13.36422,10.027773,10.029309000000001,4.45474,25.19984,0.016384,63.092265999999995,0.7240959405899048,24.7528133392334,0.2837730050086975
bicycle_run_3,13.441656,10.085849999999999,10.087386,4.480552,25.19984,0.016384,63.311668,0.7241372466087341,24.705263137817383,0.28272441029548645
flowers_run_1,8.880264,6.6648060000000005,6.666342,2.960088,25.19984,0.016384,50.387724000000006,0.5530118346214294,20.822237014770508,0.4004290699958801
flowers_run_2,8.963838,6.7274865,6.7290225,2.987946,25.19984,0.016384,50.624517,0.5534980297088623,20.89104461669922,0.40014541149139404
flowers_run_3,9.235548,6.931269,6.932805,3.078516,25.19984,0.016384,51.394362,0.5532569885253906,20.85995101928711,0.4003634452819824
garden_run_1,13.836426,10.3819275,10.383463500000001,4.612142,25.19984,0.016384,64.430183,0.8303810954093933,26.703086853027344,0.15913145244121552
garden_run_2,13.878966,10.4138325,10.415368500000001,4.626322,25.19984,0.016384,64.550713,0.8306511044502258,26.710763931274414,0.15872584283351898
garden_run_3,13.903128,10.431954,10.43349,4.634376,25.19984,0.016384,64.61917199999999,0.8307542204856873,26.7059383392334,0.1584652215242386
stump_run_1,10.035888,7.531524,7.53306,3.345296,25.19984,0.016384,53.661992,0.75272536277771,26.315465927124023,0.2807671129703522
stump_run_2,10.316454,7.7419485,7.7434845,3.438818,25.19984,0.016384,54.456929,0.7524757981300354,26.261980056762695,0.2815210819244385
stump_run_3,10.462452,7.851447,7.852983,3.487484,25.19984,0.016384,54.87059,0.7526727318763733,26.32033348083496,0.28098630905151367
treehill_run_1,11.919462,8.9442045,8.945740500000001,3.973154,25.19984,0.016384,58.998785,0.6359444260597229,22.601383209228516,0.3625117838382721
treehill_run_2,11.675442,8.761189499999999,8.7627255,3.891814,25.19984,0.016384,58.307395,0.6368396878242493,22.617843627929688,0.3635560870170593
treehill_run_3,11.910186,8.9372475,8.938783500000001,3.970062,25.19984,0.016384,58.972503,0.6366036534309387,22.584985733032227,0.36337795853614807
room_run_1,3.038568,2.283534,2.2850699999999997,1.012856,25.19984,0.016384,33.836252,0.9178975224494934,30.756298065185547,0.21017810702323914
room_run_2,3.055062,2.2959045000000002,2.2974405,1.018354,25.19984,0.016384,33.882985000000005,0.9182093739509583,30.83967399597168,0.2094048410654068
room_run_3,3.064578,2.3030415,2.3045774999999997,1.021526,25.19984,0.016384,33.909947,0.9184104800224304,30.840049743652344,0.20926350355148315
counter_run_1,3.14805,2.3656455000000003,2.3671815,1.04935,25.19984,0.016384,34.146451,0.9006000757217407,28.62911033630371,0.20644111931324005
counter_run_2,3.162072,2.3761620000000003,2.377698,1.054024,25.19984,0.016384,34.18618,0.9008017778396606,28.58636474609375,0.2058107703924179
counter_run_3,3.17622,2.3867730000000003,2.388309,1.05874,25.19984,0.016384,34.226266,0.9013383984565735,28.62744903564453,0.20519718527793884
kitchen_run_1,6.775536,5.08626,5.087796,2.258512,25.19984,0.016384,44.424328,0.9197165369987488,30.36001968383789,0.1304653435945511
kitchen_run_2,6.797934,5.1030585,5.1045945,2.265978,25.19984,0.016384,44.48778900000001,0.9201241731643677,30.520292282104492,0.13028588891029358
kitchen_run_3,6.820416,5.1199200000000005,5.121456,2.273472,25.19984,0.016384,44.551488000000006,0.920458197593689,30.70115089416504,0.12980514764785767
bonsai_run_1,3.542832,2.661732,2.663268,1.180944,25.19984,0.016384,35.265,0.9369813203811646,31.92766761779785,0.19404703378677368
bonsai_run_2,3.571104,2.682936,2.684472,1.190368,25.19984,0.016384,35.345104,0.9363290667533875,31.954959869384766,0.19371551275253296
bonsai_run_3,3.571476,2.683215,2.684751,1.190492,25.19984,0.016384,35.346158,0.9372390508651733,31.98069953918457,0.19326208531856537
bicycle_n_128_l_4,13.29732,9.977597999999999,9.979134,4.43244,25.19984,0.114688,63.00102,0.7213487029075623,24.665729522705078,0.28571853041648865
bonsai_n_128_l_4,3.532656,2.6541,2.655636,1.177552,25.19984,0.114688,35.334472,0.9368595480918884,32.083465576171875,0.19481313228607178
bicycle_n_32_l_8,12.796656,9.6021,9.603636000000002,4.265552,25.19984,0.018432,61.48621599999999,0.7084898948669434,24.302087783813477,0.3018835484981537
bonsai_n_32_l_8,3.53877,2.6586855000000003,2.6602215,1.17959,25.19984,0.018432,35.25553899999999,0.931000292301178,31.376447677612305,0.20195429027080536
bicycle_mlp_1_n_64_l_2,13.370958,10.032826499999999,10.0343625,4.456986,25.19984,0.016384,63.111357,0.7233546376228333,24.74249267578125,0.28453654050827026
bonsai_mlp_1_n_64_l_2,3.565632,2.6788320000000003,2.680368,1.188544,25.19984,0.016384,35.3296,0.9369797706604004,31.978057861328125,0.1933738738298416
bicycle_mlp_2_n_64_l_2,13.4124,10.063908,10.065444000000001,4.4708,25.19984,0.032768,63.24515999999999,0.7228325009346008,24.707382202148438,0.2852277457714081
bonsai_mlp_2_n_64_l_2,3.557898,2.6730315,2.6745674999999998,1.185966,25.19984,0.032768,35.324070999999996,0.9355159401893616,31.825403213500977,0.19429920613765717
